"type","buyAmount","buyCurrency","sellAmount","sellCurrency","feeAmount","feeCurrency","exchange","tradeGroup","comment","date"
"Mining",0.07617504,"HNT2",,,,,"Test Wallet",,,"2020-12-21 10:58:01"
"Mining",0.08285367,"HNT2",,,,,"Test Wallet",,,"2020-12-22 03:35:46"
"Mining",0.0813003,"HNT2",,,,,"Test Wallet",,,"2020-12-22 19:30:04"
"Mining",0.08661566,"HNT2",,,,,"Test Wallet",,,"2020-12-23 00:43:44"
"Mining",0.08148191,"HNT2",,,,,"Test Wallet",,,"2020-12-23 06:51:53"
"Mining",0.08243658,"HNT2",,,,,"Test Wallet",,,"2020-12-24 04:32:37"
"Mining",0.09121518,"HNT2",,,,,"Test Wallet",,,"2020-12-25 01:33:14"
"Mining",0.07675415000000001,"HNT2",,,,,"Test Wallet",,,"2020-12-26 20:12:15"
"Mining",0.08857242,"HNT2",,,,,"Test Wallet",,,"2020-12-27 00:44:13"
"Mining",0.08606387,"HNT2",,,,,"Test Wallet",,,"2020-12-27 10:52:58"
"Mining",0.08216614,"HNT2",,,,,"Test Wallet",,,"2020-12-27 17:09:28"
"Mining",0.09008267,"HNT2",,,,,"Test Wallet",,,"2020-12-27 23:09:06"
"Mining",0.08457114,"HNT2",,,,,"Test Wallet",,,"2020-12-29 05:52:34"
"Mining",0.08722864,"HNT2",,,,,"Test Wallet",,,"2020-12-29 13:22:09"
"Mining",0.09293169,"HNT2",,,,,"Test Wallet",,,"2020-12-31 10:24:07"
"Mining",0.09654789,"HNT2",,,,,"Test Wallet",,,"2020-12-31 15:28:28"
"Mining",0.06305465,"HNT2",,,,,"Test Wallet",,,"2020-12-31 19:57:45"
"Mining",0.08075106,"HNT2",,,,,"Test Wallet",,,"2021-01-02 11:40:11"
"Mining",0.07684012,"HNT2",,,,,"Test Wallet",,,"2021-01-02 19:36:16"
"Mining",0.07449502,"HNT2",,,,,"Test Wallet",,,"2021-01-04 03:25:55"
"Mining",0.06593821,"HNT2",,,,,"Test Wallet",,,"2021-01-04 11:38:11"
"Mining",0.07897182,"HNT2",,,,,"Test Wallet",,,"2021-01-05 20:20:55"
"Mining",0.07632426,"HNT2",,,,,"Test Wallet",,,"2021-01-06 15:44:34"
"Mining",0.08003985,"HNT2",,,,,"Test Wallet",,,"2021-01-07 03:33:58"
"Mining",0.06909953,"HNT2",,,,,"Test Wallet",,,"2021-01-07 12:52:34"
"Mining",0.07566812,"HNT2",,,,,"Test Wallet",,,"2021-01-08 09:02:21"
"Mining",0.0800728,"HNT2",,,,,"Test Wallet",,,"2021-01-08 21:54:01"
"Mining",0.07369975000000001,"HNT2",,,,,"Test Wallet",,,"2021-01-09 01:28:49"
"Mining",0.07319172,"HNT2",,,,,"Test Wallet",,,"2021-01-09 13:32:20"
"Mining",0.0754777,"HNT2",,,,,"Test Wallet",,,"2021-01-10 20:23:30"
"Mining",0.07920516,"HNT2",,,,,"Test Wallet",,,"2021-01-11 04:10:57"
"Mining",0.07328138000000001,"HNT2",,,,,"Test Wallet",,,"2021-01-11 08:55:08"
"Mining",0.07682387,"HNT2",,,,,"Test Wallet",,,"2021-01-11 17:28:45"
"Mining",0.07809604,"HNT2",,,,,"Test Wallet",,,"2021-01-11 21:14:09"
"Mining",0.08489953,"HNT2",,,,,"Test Wallet",,,"2021-01-12 21:23:14"
"Mining",0.07595558,"HNT2",,,,,"Test Wallet",,,"2021-01-14 00:58:19"
"Mining",0.08150078,"HNT2",,,,,"Test Wallet",,,"2021-01-14 17:57:28"
"Mining",0.07434636,"HNT2",,,,,"Test Wallet",,,"2021-01-15 02:08:34"
"Mining",0.07582932,"HNT2",,,,,"Test Wallet",,,"2021-01-15 13:54:10"
"Mining",0.07399869,"HNT2",,,,,"Test Wallet",,,"2021-01-16 08:54:00"
"Mining",0.07811123,"HNT2",,,,,"Test Wallet",,,"2021-01-17 06:16:01"
"Mining",0.07154045,"HNT2",,,,,"Test Wallet",,,"2021-01-17 10:36:00"
"Mining",0.06518428,"HNT2",,,,,"Test Wallet",,,"2021-01-17 15:08:50"
"Mining",0.07383853,"HNT2",,,,,"Test Wallet",,,"2021-01-18 03:31:32"
"Mining",0.06926235,"HNT2",,,,,"Test Wallet",,,"2021-01-18 07:42:31"
"Mining",0.06454681,"HNT2",,,,,"Test Wallet",,,"2021-01-18 11:51:34"
"Mining",0.08261588,"HNT2",,,,,"Test Wallet",,,"2021-01-18 17:20:38"
"Mining",0.07940328,"HNT2",,,,,"Test Wallet",,,"2021-01-18 21:22:16"
"Mining",0.07791579,"HNT2",,,,,"Test Wallet",,,"2021-01-19 01:37:58"
"Mining",0.07952983,"HNT2",,,,,"Test Wallet",,,"2021-01-19 05:25:57"
"Mining",0.08058187,"HNT2",,,,,"Test Wallet",,,"2021-01-19 10:23:38"
"Mining",0.07212283,"HNT2",,,,,"Test Wallet",,,"2021-01-21 15:07:51"
"Mining",0.07754456,"HNT2",,,,,"Test Wallet",,,"2021-01-21 23:18:08"
"Mining",0.07324126,"HNT2",,,,,"Test Wallet",,,"2021-01-22 07:05:40"
"Mining",0.0784343,"HNT2",,,,,"Test Wallet",,,"2021-01-22 22:47:03"
"Mining",0.07910059,"HNT2",,,,,"Test Wallet",,,"2021-01-23 08:36:45"
"Mining",0.07568599,"HNT2",,,,,"Test Wallet",,,"2021-01-23 21:20:06"
"Mining",0.07343263,"HNT2",,,,,"Test Wallet",,,"2021-01-25 17:22:05"
"Mining",0.07984513,"HNT2",,,,,"Test Wallet",,,"2021-01-25 22:25:52"
"Mining",0.07533594,"HNT2",,,,,"Test Wallet",,,"2021-01-26 08:47:34"
"Mining",0.0733419,"HNT2",,,,,"Test Wallet",,,"2021-01-27 00:58:49"
"Mining",0.07701434,"HNT2",,,,,"Test Wallet",,,"2021-01-27 10:29:36"
"Mining",0.08085617,"HNT2",,,,,"Test Wallet",,,"2021-01-28 01:54:22"
"Mining",0.07261477,"HNT2",,,,,"Test Wallet",,,"2021-01-28 03:47:18"
"Mining",0.07579845,"HNT2",,,,,"Test Wallet",,,"2021-01-28 11:41:57"
"Mining",0.07866984,"HNT2",,,,,"Test Wallet",,,"2021-01-28 15:12:39"
"Mining",0.07840969,"HNT2",,,,,"Test Wallet",,,"2021-01-29 02:49:18"
"Mining",0.08146111,"HNT2",,,,,"Test Wallet",,,"2021-01-29 08:15:42"
"Mining",0.07817224,"HNT2",,,,,"Test Wallet",,,"2021-01-29 12:19:54"
"Mining",0.07813489,"HNT2",,,,,"Test Wallet",,,"2021-01-29 15:28:14"
"Mining",0.08167506000000001,"HNT2",,,,,"Test Wallet",,,"2021-01-29 22:48:25"
"Mining",0.07895936,"HNT2",,,,,"Test Wallet",,,"2021-01-30 02:15:36"
"Mining",0.08087905000000001,"HNT2",,,,,"Test Wallet",,,"2021-01-30 06:08:54"
"Mining",0.08007563,"HNT2",,,,,"Test Wallet",,,"2021-01-30 07:49:13"
"Mining",0.07719186,"HNT2",,,,,"Test Wallet",,,"2021-01-30 12:36:25"
"Mining",0.07463291,"HNT2",,,,,"Test Wallet",,,"2021-01-30 17:07:04"
"Mining",0.08303921,"HNT2",,,,,"Test Wallet",,,"2021-01-30 17:55:17"
"Mining",0.07622592,"HNT2",,,,,"Test Wallet",,,"2021-01-30 23:18:14"
"Mining",0.08116567,"HNT2",,,,,"Test Wallet",,,"2021-01-31 03:29:56"
"Mining",0.08004168,"HNT2",,,,,"Test Wallet",,,"2021-01-31 04:07:16"
"Mining",0.0824825,"HNT2",,,,,"Test Wallet",,,"2021-01-31 10:16:22"
"Mining",0.07577497,"HNT2",,,,,"Test Wallet",,,"2021-01-31 14:14:40"
"Mining",0.08093518,"HNT2",,,,,"Test Wallet",,,"2021-01-31 22:07:55"
"Mining",0.07137507,"HNT2",,,,,"Test Wallet",,,"2021-02-01 00:42:01"
"Mining",0.07779212,"HNT2",,,,,"Test Wallet",,,"2021-02-01 01:16:05"
"Mining",0.07756128,"HNT2",,,,,"Test Wallet",,,"2021-02-01 06:29:29"
"Mining",0.0829291,"HNT2",,,,,"Test Wallet",,,"2021-02-01 14:28:55"
"Mining",0.07465703,"HNT2",,,,,"Test Wallet",,,"2021-02-01 19:02:34"
"Mining",0.07790724,"HNT2",,,,,"Test Wallet",,,"2021-02-02 04:38:43"
"Mining",0.07495854,"HNT2",,,,,"Test Wallet",,,"2021-02-02 08:38:49"
"Mining",0.07730286,"HNT2",,,,,"Test Wallet",,,"2021-02-02 12:02:06"
"Mining",0.07770194,"HNT2",,,,,"Test Wallet",,,"2021-02-02 13:56:22"
"Mining",0.07690044,"HNT2",,,,,"Test Wallet",,,"2021-02-02 16:26:35"
"Mining",0.07085544,"HNT2",,,,,"Test Wallet",,,"2021-02-02 21:55:57"
"Mining",0.07055853000000001,"HNT2",,,,,"Test Wallet",,,"2021-02-03 00:36:06"
"Mining",0.07474063,"HNT2",,,,,"Test Wallet",,,"2021-02-03 10:53:37"
"Mining",0.07133836,"HNT2",,,,,"Test Wallet",,,"2021-02-03 14:50:34"
