Type,Buy Amount,Buy Currency,Sell Amount,Sell Currency,Fee,Fee Currency,Exchange,Trade Group,Comment,Date
Mining,0.08182602,HNT2,,,,,Helium,,Block 831680,2021-05-05 12:30:19
Mining,2.563e-05,HNT2,,,,,Helium,,Block 831713,2021-05-05 12:58:56
Mining,2.506e-05,HNT2,,,,,Helium,,Block 831823,2021-05-05 14:37:40
Mining,0.05579046,HNT2,,,,,Helium,,Block 831876,2021-05-05 15:22:44
Mining,2.3919999999999998e-05,HNT2,,,,,Helium,,Block 831964,2021-05-05 16:39:18
Mining,0.05868646,HNT2,,,,,Helium,,Block 832007,2021-05-05 17:16:11
Mining,2.6759999999999998e-05,HNT2,,,,,Helium,,Block 832073,2021-05-05 18:16:50
Mining,0.04816711,HNT2,,,,,Helium,,Block 832111,2021-05-05 18:54:08
Mining,0.74332463,HNT2,,,,,Helium,,Block 832155,2021-05-05 19:33:44
Mining,2.05e-05,HNT2,,,,,Helium,,Block 832188,2021-05-05 20:04:07
Mining,0.06855975,HNT2,,,,,Helium,,Block 832351,2021-05-05 22:32:12
Mining,0.04147356,HNT2,,,,,Helium,,Block 832863,2021-05-06 11:10:21
Mining,4.1910000000000004e-05,HNT2,,,,,Helium,,Block 833072,2021-05-06 14:41:15
Mining,1.07997531,HNT2,,,,,Helium,,Block 833272,2021-05-06 17:45:01
Mining,2.322e-05,HNT2,,,,,Helium,,Block 833312,2021-05-06 18:25:16
Mining,0.04455601,HNT2,,,,,Helium,,Block 833352,2021-05-06 19:12:41
Mining,1.317e-05,HNT2,,,,,Helium,,Block 833540,2021-05-06 22:33:36
Mining,1.313e-05,HNT2,,,,,Helium,,Block 833578,2021-05-06 23:25:10
Mining,0.13719858000000001,HNT2,,,,,Helium,,Block 833626,2021-05-07 00:15:19
Mining,1.206e-05,HNT2,,,,,Helium,,Block 833812,2021-05-07 03:24:47
Mining,0.04655717,HNT2,,,,,Helium,,Block 833886,2021-05-07 04:36:13
Mining,0.04794983,HNT2,,,,,Helium,,Block 833920,2021-05-07 05:08:10
Mining,1.11623322,HNT2,,,,,Helium,,Block 833959,2021-05-07 05:45:38
Mining,0.04587718,HNT2,,,,,Helium,,Block 834100,2021-05-07 08:01:23
Mining,0.20110514,HNT2,,,,,Helium,,Block 834171,2021-05-07 09:10:55
Mining,0.05293145,HNT2,,,,,Helium,,Block 834204,2021-05-07 09:39:43
Mining,0.32040303000000003,HNT2,,,,,Helium,,Block 834283,2021-05-07 10:51:50
Mining,0.05244233,HNT2,,,,,Helium,,Block 834391,2021-05-07 12:52:45
Mining,0.05585878,HNT2,,,,,Helium,,Block 834465,2021-05-07 14:05:03
Mining,0.91687152,HNT2,,,,,Helium,,Block 834534,2021-05-07 15:16:05
Mining,0.39002352,HNT2,,,,,Helium,,Block 834653,2021-05-07 17:11:54
Mining,1.14039689,HNT2,,,,,Helium,,Block 834692,2021-05-07 17:47:38
Mining,0.05910548,HNT2,,,,,Helium,,Block 834728,2021-05-07 18:19:23
Mining,3.495e-05,HNT2,,,,,Helium,,Block 834762,2021-05-07 18:50:48
Mining,0.6639536800000001,HNT2,,,,,Helium,,Block 834949,2021-05-07 22:15:03
Mining,1.7310000000000002e-05,HNT2,,,,,Helium,,Block 835023,2021-05-07 23:22:22
Mining,0.04937388,HNT2,,,,,Helium,,Block 835076,2021-05-08 00:08:57
Mining,1.324e-05,HNT2,,,,,Helium,,Block 835273,2021-05-08 03:21:10
Mining,0.04827689,HNT2,,,,,Helium,,Block 835415,2021-05-08 06:24:37
Mining,0.04716093,HNT2,,,,,Helium,,Block 835509,2021-05-08 07:59:24
Mining,0.06078522,HNT2,,,,,Helium,,Block 835684,2021-05-08 10:33:36
Mining,4.0140000000000005e-05,HNT2,,,,,Helium,,Block 835755,2021-05-08 11:34:22
Mining,0.15046602,HNT2,,,,,Helium,,Block 835834,2021-05-08 12:41:21
Mining,3.721e-05,HNT2,,,,,Helium,,Block 836014,2021-05-08 15:26:58
Mining,3.276e-05,HNT2,,,,,Helium,,Block 836250,2021-05-08 19:10:53
Mining,0.48188861,HNT2,,,,,Helium,,Block 836308,2021-05-08 20:05:27
Mining,0.05949486,HNT2,,,,,Helium,,Block 836341,2021-05-08 20:36:48
Mining,1.384e-05,HNT2,,,,,Helium,,Block 836567,2021-05-09 00:37:04
Mining,8.71e-06,HNT2,,,,,Helium,,Block 836732,2021-05-09 04:00:54
Mining,2.092e-05,HNT2,,,,,Helium,,Block 837026,2021-05-09 09:00:42
Mining,0.05963808,HNT2,,,,,Helium,,Block 837136,2021-05-09 10:43:28
